Jurisdiction,Prob,Topic,Accuracy
       Minnesota  ,0.9952133354460646,  8,  0.893453
     Mississippi  ,0.9678538718804942,  8,  0.818278
        Missouri  ,0.9851355562915458,  8,  0.679952
         Montana  ,0.7891609116967822,  8,  0.774075
        Nebraska  ,0.9999950365658491,  8,  0.846154
          Nevada  ,0.8375171544286768,  8,  0.581568
   New Hampshire  ,0.7122584645041278,  8,  0.570707
      New Jersey  ,0.9752724046704953,  8,  0.891155
      New Mexico  ,0.9893795587867281,  8,  0.772898
        New York  ,0.9806021768571466,  8,  0.902766
  North Carolina  ,0.946423604179034,  8,  0.794526
    North Dakota  ,0.8253477978580852,  8,  0.646856
            Ohio  ,0.9637785397880727,  8,  0.798030
        Oklahoma  ,0.8939598429231816,  8,  0.822622
          Oregon  ,0.9583016920606174,  8,  0.880503
    Pennsylvania  ,0.9102262950733995,  8,  0.663125
    Rhode Island  ,0.9106858840917011,  8,  0.664840
  South Carolina  ,0.9458833062482775,  8,  0.798747
    South Dakota  ,0.8686975797912955,  8,  0.504348
       Tennessee  ,0.8888732202282325,  8,  0.775969
           Texas  ,0.9260855997938082,  8,  0.785265
            Utah  ,0.517942907740293,  8,  0.663608
         Vermont  ,0.9669953040605098,  8,  0.813025
        Virginia  ,0.9232756087490696,  8,  0.748325
      Washington  ,0.8718858270509642,  8,  0.769841
   West Virginia  ,0.9494250195133171,  8,  0.812707
       Wisconsin  ,0.9662266846136609,  8,  0.801786
         Wyoming  ,0.8492498494478382,  8,  0.762868
         Alabama  ,0.8788552031149883, 9 , 0.675788
          Alaska  ,0.9498200662321804, 9 , 0.893333
         Arizona  ,0.8937759967916841, 9 , 0.675650
        Arkansas  ,0.8755501513402246, 9 , 0.682680
      California  ,0.9023063945297343, 9 , 0.761433
        Colorado  ,0.8322499752456217, 9 , 0.461553
     Connecticut  ,0.9925320784767209, 9 , 0.931686
        Delaware  ,0.6983945799731333, 9 , 0.667727
         Florida  ,0.9798740698726769, 9 , 0.867703
         Georgia  ,0.8612209582209639, 9 , 0.802451
          Hawaii  ,0.9498186045218339, 9 , 0.823135
           Idaho  ,0.945078385850004, 9 , 0.831710
        Illinois  ,0.9651063293598047, 9 , 0.842034
         Indiana  ,0.952260532898943, 9 , 0.902624
            Iowa  ,0.9448391387525924, 9 , 0.832245
          Kansas  ,0.9542500622946903, 9 , 0.177778
        Kentucky  ,0.8244539230218959, 9 , 0.532143
       Louisiana  ,0.8172256590071209, 9 , 0.695645
           Maine  ,0.9138620306657999, 9 , 0.597199
        Maryland  ,0.8962030775332571, 9 , 0.718481
   Massachusetts  ,0.9969061239773891, 9 , 0.843628
        Michigan  ,0.9207930748141846, 9 , 0.723342
       Minnesota  ,0.9944862789862968, 9 , 0.889141
     Mississippi  ,0.9667745549615636, 9 , 0.820147
        Missouri  ,0.987680096604982, 9 , 0.685990
         Montana  ,0.7881080835449128, 9 , 0.741013
        Nebraska  ,0.9991118749463301, 9 , 0.759288
          Nevada  ,0.8447248141619177, 9 , 0.555085
   New Hampshire  ,0.6918369803338487, 9 , 0.553872
      New Jersey  ,0.975015101036509, 9 , 0.891763
      New Mexico  ,0.9581232627213857, 9 , 0.773119
        New York  ,0.979160449520498, 9 , 0.893538
  North Carolina  ,0.5762474364497348, 9 , 0.780590
    North Dakota  ,0.825024360519051, 9 , 0.666667
            Ohio  ,0.9656399068143048, 9 , 0.793103
        Oklahoma  ,0.8941525013354098, 9 , 0.817976
          Oregon  ,0.9582059186027625, 9 , 0.880503
    Pennsylvania  ,0.9095062538408768, 9 , 0.640753
    Rhode Island  ,0.9812437008212025, 9 , 0.673715
  South Carolina  ,0.9370822604278235, 9 , 0.782846
    South Dakota  ,0.879306675873117, 9 , 0.676812
       Tennessee  ,0.888751686925252, 9 , 0.777842
           Texas  ,0.9261338396989823, 9 , 0.777121
            Utah  ,0.5415947278915112, 9 , 0.657130
         Vermont  ,0.9502939162689197, 9 , 0.797969
        Virginia  ,0.922630140173433, 9 , 0.746043
      Washington  ,0.873458638137683, 9 , 0.767289
   West Virginia  ,0.9495327725570252, 9 , 0.798834
       Wisconsin  ,0.9674035785789853, 9 , 0.800000
         Wyoming  ,0.8521005346624189, 9 , 0.762868
         Alabama  ,0.863288904485121, 10,  0.703153
          Alaska  ,0.9495408940131692, 10,  0.893333
         Arizona  ,0.7266843613754846, 10,  0.612077
        Arkansas  ,0.8699886173895491, 10,  0.634218
      California  ,0.924160444979353, 10,  0.764498
        Colorado  ,0.8324803202862163, 10,  0.464091
     Connecticut  ,0.9896389561072106, 10,  0.927180
        Delaware  ,0.7806116248134773, 10,  0.678855
         Florida  ,0.9826179663583473, 10,  0.868253
         Georgia  ,0.8525398144537208, 10,  0.792695
          Hawaii  ,0.9503060727691062, 10,  0.821575
           Idaho  ,0.9477125544624821, 10,  0.832178
        Illinois  ,0.9656792314391806, 10,  0.841372
         Indiana  ,0.9688112697827358, 10,  0.915558
            Iowa  ,0.9473810025891125, 10,  0.832726
          Kansas  ,0.9670123388995223, 10,  0.044444
        Kentucky  ,0.8840433198597434, 10,  0.384774
       Louisiana  ,0.8539703929049471, 10,  0.692987
           Maine  ,0.9150054818741681, 10,  0.522016
        Maryland  ,0.8977577181287135, 10,  0.708662
   Massachusetts  ,0.996980064583943, 10,  0.835145
        Michigan  ,0.9218456147296248, 10,  0.743734
       Minnesota  ,0.9941209275450996, 10,  0.895268
     Mississippi  ,0.9965519769210582, 10,  0.814174
        Missouri  ,0.9854593740833151, 10,  0.619565
         Montana  ,0.7970159308943803, 10,  0.715560
        Nebraska  ,0.9999912719875247, 10,  0.819466
          Nevada  ,0.8466224550191777, 10,  0.525424
   New Hampshire  ,0.7192539714807022, 10,  0.555556
      New Jersey  ,0.9762483754892888, 10,  0.882241
      New Mexico  ,0.9856718221427483, 10,  0.767601
        New York  ,0.978742552142361, 10,  0.888993
  North Carolina  ,0.9368038305137363, 10,  0.788589
    North Dakota  ,0.8068242223590707, 10,  0.635659
            Ohio  ,0.9632125770449385, 10,  0.800493
        Oklahoma  ,0.8941004798810865, 10,  0.815871
          Oregon  ,0.9574493421643586, 10,  0.848199
    Pennsylvania  ,0.9027828265934884, 10,  0.607830
    Rhode Island  ,0.8880070374603023, 10,  0.657365
  South Carolina  ,0.9484453036071594, 10,  0.716833
    South Dakota  ,0.8614778328968183, 10,  0.542029
       Tennessee  ,0.8921629033273255, 10,  0.775284
           Texas  ,0.9298225921648957, 10,  0.791586
            Utah  ,0.5105213927344334, 10,  0.649573
         Vermont  ,0.9629789420964188, 10,  0.730742
        Virginia  ,0.9211921746308182, 10,  0.742774
      Washington  ,0.8580006567990129, 10,  0.775034
   West Virginia  ,0.942869326846922, 10,  0.804966
       Wisconsin  ,0.9659402318002052, 10,  0.802009
         Wyoming  ,0.7900661426751037, 10,  0.806985
         Alabama  ,0.8859097165209624, 11,  0.668018
          Alaska  ,0.9498168505133483, 11,  0.893333
         Arizona  ,0.8981704596122706, 11,  0.669108
        Arkansas  ,0.8714799791961236, 11,  0.717236
      California  ,0.902124804659093, 11,  0.761605
        Colorado  ,0.8331421839710482, 11,  0.460734
     Connecticut  ,0.9925974009605519, 11,  0.932994
        Delaware  ,0.8256425891331476, 11,  0.674881
         Florida  ,0.9846624437478004, 11,  0.894792
         Georgia  ,0.8616071712534259, 11,  0.799468
          Hawaii  ,0.9504003685277345, 11,  0.820805
           Idaho  ,0.9449353163150924, 11,  0.832150
        Illinois  ,0.9648791669088657, 11,  0.841045
         Indiana  ,0.9683258537921479, 11,  0.915466
            Iowa  ,0.9446708480096141, 11,  0.832691
          Kansas  ,0.9550827376192782, 11,  0.066667
        Kentucky  ,0.822518329303193, 11,  0.536772
       Louisiana  ,0.8172701994658738, 11,  0.695473
           Maine  ,0.9140314469694609, 11,  0.583755
        Maryland  ,0.8961631659849498, 11,  0.717957
   Massachusetts  ,0.9968829916522456, 11,  0.844335
        Michigan  ,0.9202378088270055, 11,  0.736728
       Minnesota  ,0.9943211001213309, 11,  0.888630
     Mississippi  ,0.9673789672588057, 11,  0.814336
